Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
WTBA,"West Bancorp",20.59,-0.91,-4.23%,21.32,21.32,20.5,37200,2022-10-07
WTI,"W&T Offshore",7.51,-0.23,-2.97%,7.74,7.99,7.47,4203000,2022-10-07
WTS,"Watts Water Technologies",126.29,-3.05,-2.36%,128.34,128.41,125,85000,2022-10-07
WTTR,"Select Energy Services Inc",8.05,0.1,+1.26%,8.06,8.29,7.97,581600,2022-10-07
WULF,"Terawulf Inc",1.36,-0.42,-23.60%,1.68,1.75,1.3,459300,2022-10-07
WW,"Weight Watchers International Inc",3.63,-0.1,-2.68%,3.68,3.73,3.59,1238300,2022-10-07
WWW,"Wolverine World Wide",16.14,-0.89,-5.23%,16.75,16.84,16.07,700100,2022-10-07
XERS,"Xeris Pharmaceuticals Inc",1.49,-0.08,-5.10%,1.56,1.61,1.48,1286300,2022-10-07
XHR,"Xenia Hotels & Resorts Inc",14.25,-0.22,-1.52%,14.33,14.47,14.11,409600,2022-10-07
XMTR,"Xometry Inc Cl A",59.01,-1.99,-3.26%,60.17,60.21,58.33,388800,2022-10-07
XNCR,"Xencor Inc",26.04,-0.71,-2.65%,26.55,26.55,25.81,315100,2022-10-07
XOS,"Xos Inc",1.13,0,0.00%,1.11,1.13,1.1,289000,2022-10-07
XPEL,"Xpel Technologies",61.37,-4.14,-6.32%,65.49,66.06,60.62,193200,2022-10-07
XPER,"Xperi Inc",14.94,-0.57,-3.68%,15.43,15.63,14.94,457700,2022-10-07
XPOF,"Xponential Fitness Inc Cl A",19.8,0.27,+1.38%,19.29,19.85,18.99,154500,2022-10-07
XPRO,"Expro Group Hldgs N.V.",15.41,0.08,+0.52%,15.51,15.81,15.15,601000,2022-10-07
XRX,"Xerox Corp",14.29,-0.41,-2.79%,14.48,14.64,14.19,1120400,2022-10-07
XXII,"22nd Century Group Inc",0.9215,-0.0497,-5.12%,0.98,0.98,0.911,1195500,2022-10-07
YELP,"Yelp Inc",35.33,-0.41,-1.15%,35.22,35.48,34.78,511400,2022-10-07
YEXT,"Yext Inc",4.61,-0.26,-5.34%,4.74,4.8,4.57,599300,2022-10-07
YMAB,"Y-Mabs Therapeutics Inc",13.79,-0.53,-3.70%,14.28,14.77,13.57,407700,2022-10-07
YORW,"York Water Company",37.5,-0.69,-1.81%,37.79,37.79,36.85,61500,2022-10-07
YOU,"Clear Secure Inc Cl A",24.82,-1.65,-6.23%,25.84,25.87,24.65,571900,2022-10-07
ZD,"Ziff Davis Inc",71.86,-1.87,-2.54%,72.85,73.26,71.69,198900,2022-10-07
ZETA,"Zeta Global Holdings Corp Cl A",7.04,-0.31,-4.22%,7.16,7.41,6.97,1096100,2022-10-07
ZEUS,"Olympic Steel Inc",23.15,-0.44,-1.87%,23.41,23.63,22.96,42800,2022-10-07
ZEV,"Lightning Emotors Inc",1.26,-0.11,-8.03%,1.35,1.36,1.25,645600,2022-10-07
ZGN,"Ermenegildo Zegna N.V.",10.55,-0.29,-2.68%,10.69,10.8,10.47,42500,2022-10-07
ZIMV,"Zimvie Inc",9.03,-1.38,-13.26%,10.53,10.53,8.96,371800,2022-10-07
ZIP,"Ziprecruiter Inc Cl A",16.91,-0.89,-5.00%,17.38,17.44,16.7,495400,2022-10-07
ZNTL,"Zentalis Pharmaceuticals Inc",21.58,-0.8,-3.57%,21.88,22.12,21.42,909100,2022-10-07
ZUMZ,"Zumiez Inc",21.58,-0.61,-2.75%,21.83,22.15,21.02,201500,2022-10-07
ZUO,"Zuora Inc",7.38,-0.43,-5.51%,7.62,7.67,7.32,735900,2022-10-07
ZWS,"Zurn Elkay Water Solutions Corp",24.58,-0.63,-2.50%,24.92,25.25,24.5,574700,2022-10-07
ZYXI,"Zynex Inc",8.8,-0.5,-5.38%,9.27,9.4,8.75,141300,2022-10-07
"Downloaded from Barchart.com as of 10-07-2022 08:30pm CDT"
