Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
SPOT,240.33,2024/02/08,15:04 EST,-0.5,238.0,244.29,237.6508,2026509,,,,,,,
DIS,110.8699,2024/02/08,15:04 EST,11.729904,107.08,112.77,106.8,51382368,,,,,,,
COST,722.81,2024/02/08,15:04 EST,3.0299683,723.89,728.12,720.66,1172783,,,,,,,
BJ,66.86,2024/02/08,15:03 EST,0.8499985,66.15,67.545,66.23,435545,,,,,,,
AMZN,170.2101,2024/02/08,15:04 EST,-0.3199005,169.65,171.42,168.88,29617078,,,,,,,
JWN,19.195,2024/02/08,15:04 EST,0.7649994,18.65,19.2,18.495,1839483,,,,,,,
GPS,20.207,2024/02/08,15:04 EST,0.3369999,19.95,20.46,19.84,4793074,,,,,,,
CSCO,49.72,2024/02/08,15:04 EST,-0.049999237,49.9,49.99,49.55,8297769,,,,,,,
ADES,3.36,2024/01/31,16:00 EST,0.099999905,3.28,3.5489,3.2114,100969,,,,,,,
SAIA,546.37,2024/02/08,15:01 EST,10.349976,535.75,550.11,533.865,169432,,,,,,,
EXPR,3.88,2024/02/08,15:01 EST,0.0500002,3.91,3.8938,3.785,45174,,,,,,,
AXP,210.2499,2024/02/08,15:04 EST,1.1698914,208.25,211.16,207.95,2436976,,,,,,,
FOSL,1.065,2024/02/08,15:04 EST,-0.004999995,1.07,1.075,1.05,172451,,,,,,,
NKE,103.735,2024/02/08,15:04 EST,-0.055000305,104.43,104.96,103.045,4485153,,,,,,,
F,12.765,2024/02/08,15:04 EST,-0.034999847,12.87,12.9,12.54,53662265,,,,,,,
FSLR,143.865,2024/02/08,15:04 EST,-1.5950012,146.12,146.13,142.0,982383,,,,,,,
ARLO,8.695,2024/02/08,15:03 EST,0.21500015,8.53,8.81,8.535,430489,,,,,,,
TM,225.56,2024/02/08,15:03 EST,2.5099945,225.32,225.95,223.825,203711,,,,,,,
SBUX,96.325,2024/02/08,15:04 EST,1.5849991,95.1,96.341,93.925,5685740,,,,,,,
DOCN,36.76,2024/02/08,15:04 EST,1.2399979,35.34,36.78,35.0101,443438,,,,,,,
DOCU,51.48,2024/02/08,15:04 EST,0.16999817,51.47,52.32,50.9401,1781759,,,,,,,
CELH,58.415,2024/02/08,15:04 EST,0.64500046,57.97,59.05,57.506,2020558,,,,,,,
VWDRY,9.4,2024/02/08,14:38 EST,-0.21000004,9.5,9.5,9.35,57016,,,,,,,
SONY,96.1363,2024/02/08,15:04 EST,-1.123703,96.17,96.46,95.47,405590,,,,,,,
UAL,41.34,2024/02/08,15:04 EST,0.060001373,41.21,41.35,40.44,4739386,,,,,,,
TGT,147.44,2024/02/08,15:04 EST,0.7100067,147.01,149.07,146.85,1872704,,,,,,,
BEAM,28.285,2024/02/08,15:03 EST,0.71500015,27.55,28.42,27.35,360261,,,,,,,
CPRX,13.45,2024/02/08,15:02 EST,0.09999943,13.32,13.495,13.1161,597038,,,,,,,
CLSK,10.215,2024/02/08,15:04 EST,0.90499973,9.93,10.3916,9.53,25495361,,,,,,,
LLY,733.97,2024/02/08,15:04 EST,8.589966,728.32,740.77,725.97,3408918,,,,,,,
PFE,27.565,2024/02/08,15:04 EST,0.005001068,27.56,27.69,27.4103,18717551,,,,,,,
MRNA,96.5,2024/02/08,15:04 EST,-2.800003,99.0,99.0,96.01,2103088,,,,,,,
PGR,182.85,2024/02/08,15:04 EST,0.68000793,182.21,184.2468,181.89,1040284,,,,,,,
DFH,31.57,2024/02/08,15:03 EST,0.35,31.22,31.755,30.625,174903,,,,,,,
COIN,131.89,2024/02/08,15:04 EST,9.82,127.218,133.0499,125.81,9313244,,,,,,,
FCEL,1.2562,2024/02/08,15:04 EST,0.006199956,1.23,1.27,1.21,8990807,,,,,,,
PLUG,4.2066,2024/02/08,15:04 EST,-0.013399601,4.21,4.29,4.1,28224356,,,,,,,
NIO,5.875,2024/02/08,15:04 EST,0.0149998665,5.82,5.88,5.72,25189941,,,,,,,
RUN,15.68,2024/02/08,15:04 EST,0.3699999,15.26,15.745,15.09,8826869,,,,,,,
