Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
PAHC,"Phibro Anl Htlh A",12.86,-0.14,-1.08%,12.89,12.9,12.65,283800,2022-10-07
PANW,"Palo Alto Networks Inc",169.91,-4.84,-2.77%,172.14,173.78,169.35,2833600,2022-10-07
PAR,"Par Technology Corp",29.89,-1.46,-4.66%,30.78,30.98,29.78,159700,2022-10-07
PARA,"Paramount Global Cl B",18.65,-0.48,-2.51%,18.9,19.13,18.49,9161101,2022-10-07
PARR,"Par Petroleum Corp",18.58,-0.56,-2.93%,19.17,19.4,18.45,829700,2022-10-07
PATH,"Uipath Inc Cl A",12.96,-0.71,-5.19%,13.28,13.39,12.8,5809400,2022-10-07
PATK,"Patrick Inds Inc",43.57,-3.38,-7.20%,46.46,46.82,43.23,148500,2022-10-07
PAYA,"Paya Holdings Inc",5.92,-0.12,-1.99%,5.92,6.01,5.81,338600,2022-10-07
PAYC,"Paycom Software Inc",338.4,-15.2,-4.30%,346.53,347.88,337.36,395900,2022-10-07
PAYO,"Payoneer Global Inc",7.19,0.13,+1.84%,7.49,7.72,7.08,22336900,2022-10-07
PAYX,"Paychex Inc",109.59,-2.1,-1.88%,110.58,110.91,108.97,2133500,2022-10-07
PB,"Prosperity Bancshares",69.27,-1.5,-2.12%,70.54,70.54,68.96,323900,2022-10-07
PBF,"PBF Energy Inc",39.06,-0.83,-2.08%,40,40.78,38.71,2746500,2022-10-07
PBH,"Prestige Brand Holdings",49.75,-0.1,-0.20%,49.81,50.08,49,223100,2022-10-07
PCAR,"Paccar Inc",87.68,-2.02,-2.25%,88.76,89.09,87.47,1878600,2022-10-07
PCG,"Pacific Gas & Electric Company",14.93,0.3,+2.05%,14.61,14.95,14.52,38200598,2022-10-07
PCH,"Potlatch Cp",42.51,-0.25,-0.58%,42.71,42.75,42.38,688000,2022-10-07
PCOR,"Procore Technologies Inc",53.91,-2.49,-4.41%,55,55.31,53.24,437200,2022-10-07
PCRX,"Pacira Pharm Inc",56.31,-1.14,-1.98%,57.11,58.09,56.05,412800,2022-10-07
PCT,"Purecycle Technologies Inc",8.56,-0.59,-6.45%,9.06,9.24,8.48,724700,2022-10-07
PCTY,"Paylocity Holdings Corp",245.81,-19.16,-7.23%,258.22,258.79,244.38,578200,2022-10-07
PCVX,"Vaxcyte Inc",24.08,0.65,+2.77%,23.41,24.48,23.41,839200,2022-10-07
PD,"Pagerduty Inc",22.97,-1.74,-7.04%,23.77,23.98,22.9,760200,2022-10-07
PDCE,"Pdc Energy Inc",67.93,0.51,+0.76%,67.9,69.9,67.08,921900,2022-10-07
