Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AZEK,"The Azek Company Cl A",17.75,-1.02,-5.43%,18.29,18.29,17.5,1951000,2022-10-07
AZO,Autozone,2174,-41.88,-1.89%,2213.96,2213.96,2165.86,139600,2022-10-07
AZPN,"Aspen Technology",253.41,-0.54,-0.21%,252.36,255.93,248.66,237600,2022-10-07
AZTA,"Azenta Inc",41.91,-3.06,-6.80%,44.08,44.18,41.5,586200,2022-10-07
BA,"Boeing Company",129.79,-2.41,-1.82%,130.36,130.61,128.02,5097300,2022-10-07
BAC,"Bank of America Corp",30.75,-0.71,-2.26%,31.17,31.24,30.52,52304598,2022-10-07
BAH,"Booz Allen Hamilton Holding Corp",97.24,0.66,+0.68%,96.07,97.3,95.41,605700,2022-10-07
BALL,"Ball Corporation",48.52,-1.42,-2.84%,49.13,49.29,48.26,1747800,2022-10-07
BAX,"Baxter International Inc",55.62,-0.63,-1.12%,55.89,56.14,55.26,2686600,2022-10-07
BBWI,"Bath & Body Works Inc",35.51,0.22,+0.62%,34.76,35.53,34.34,3202200,2022-10-07
BBY,"Best Buy Company",64.53,-2.28,-3.41%,65.53,65.79,64.18,1878400,2022-10-07
BC,"Brunswick Corp",67.94,-2.13,-3.04%,68.95,69.07,67.24,574100,2022-10-07
BDX,"Becton Dickinson and Company",222.67,-5.73,-2.51%,226.93,227.55,221.64,1436800,2022-10-07
BEN,"Franklin Resources",21.85,-1.1,-4.79%,22.6,22.71,21.66,3523400,2022-10-07
BEPC,"Brookfield Renewable Corp",32.57,-0.26,-0.79%,32.8,32.9,32.29,866900,2022-10-07
BERY,"Berry Global Group",46.7,-1.71,-3.53%,47.75,47.75,46.26,636000,2022-10-07
BF.A,"Brown Forman Inc Cl A",66.18,-1.39,-2.06%,66.91,67.22,65.78,87600,2022-10-07
BFAM,"Bright Horizons Family Solutions Inc",56.58,-2.03,-3.46%,57.86,58.21,56.45,422600,2022-10-07
BF.B,"Brown Forman Inc Cl B",65.13,-1.07,-1.62%,65.81,65.97,64.78,1045100,2022-10-07
BG,"Bunge Ltd",85.52,-0.73,-0.85%,85.97,86.46,84.64,879600,2022-10-07
BHF,"Brighthouse Financial Inc",46.99,-1.3,-2.69%,47.55,47.96,46.4,601100,2022-10-07
BIIB,"Biogen Inc",257.89,-4.37,-1.67%,261.4,265.98,256.48,1778200,2022-10-07
BILL,"Bill.com Holdings Inc",138.54,-9.78,-6.59%,143.35,143.51,137.47,1413500,2022-10-07
BIO,"Bio-Rad Laboratories",428.93,-23.92,-5.28%,446.68,446.68,428.39,136600,2022-10-07
